Score
92.0
9.0
69.0
90.0
88.0
55.0
100.0
100.0
60.0
98.0
58.0
58.0
93.0
98.0
22.0
64.0
13.0
82.0
92.0
54.0
98.0
57.0
96.0
3.0
34.0
76.0
81.0
29.0
45.0
60.0
77.0
65.0
83.0
88.0
38.0
28.0
40.0
68.0
62.0
73.0
78.0
2.0
46.0
16.0
1.0
26.0
86.0
37.0
82.0
85.0
26.0
54.0
90.0
23.0
100.0
100.0
95.0
41.0
100.0
67.0
77.0
43.0
33.0
67.0
69.0
43.0
44.0
91.0
38.0
66.0
91.0
70.0
85.0
71.0
78.0
27.0
36.0
75.0
60.0
97.0
85.0
78.0
81.0
56.0
68.0
53.0
100.0
8.0
58.0
37.0
44.0
79.0
89.0
68.0
46.0
59.0
68.0
100.0
74.0
68.0
4.0
8.0
86.0
76.0
98.0
48.0
94.0
38.0
21.0
37.0
1.0
95.0
83.0
1.0
79.0
43.0
90.0
73.0
100.0
71.0
14.0
29.0
48.0
21.0
21.0
26.0
46.0
90.0
39.0
27.0
57.0
75.0
47.0
95.0
46.0
73.0
39.0
84.0
51.0
100.0
100.0
1.0
1.0
40.0
58.0
82.0
56.0
62.0
91.0
46.0
91.0
82.0
55.0
1.0
44.0
16.0
84.0
100.0
90.0
95.0
28.0
67.0
45.0
85.0
8.0
91.0
1.0
59.0
100.0
12.0
49.0
99.0
22.0
43.0
35.0
40.0
96.0
100.0
41.0
41.0
80.0
55.0
52.0
26.0
59.0
2.0
31.0
35.0
97.0
41.0
46.0
60.0
79.0
85.0
18.0
87.0
80.0
19.0
27.0
86.0
43.0
14.0
33.0
86.0
67.0
90.0
67.0
99.0
52.0
82.0
100.0
100.0
16.0
44.0
61.0
68.0
65.0
58.0
73.0
82.0
99.0
52.0
35.0
99.0
67.0
68.0
99.0
77.0
81.0
26.0
69.0
60.0
100.0
10.0
97.0
6.0
92.0
17.0
4.0
75.0
100.0
64.0
1.0
1.0
29.0
17.0
33.0
91.0
69.0
34.0
10.0
100.0
91.0
74.0
32.0
100.0
100.0
57.0
17.0
94.0
97.0
62.0
60.0
68.0
66.0
78.0
19.0
9.0
87.0
62.0
50.0
37.0
88.0
95.0
80.0
72.0
26.0
87.0
83.0
1.0
68.0
49.0
73.0
100.0
59.0
92.0
40.0
100.0
30.0
67.0
100.0
79.0
71.0
68.0
76.0
24.0
81.0
48.0
29.0
14.0
56.0
75.0
54.0
30.0
66.0
30.0
96.0
5.0
93.0
52.0
64.0
88.0
24.0
68.0
29.0
72.0
77.0
95.0
19.0
32.0
19.0
61.0
3.0
79.0
70.0
69.0
77.0
99.0
100.0
100.0
25.0
78.0
59.0
87.0
75.0
59.0
73.0
6.0
11.0
29.0
87.0
100.0
68.0
80.0
73.0
65.0
34.0
94.0
41.0
8.0
51.0
89.0
24.0
79.0
24.0
13.0
99.0
12.0
43.0
19.0
86.0
84.0
99.0
84.0
89.0
100.0
